location,continent_o,country_o,iso_alpha,iso_num,lat,lng
KINSHASA Congo,Africa,Democratic Republic of the Congo,CDF,976,-4.3983689,15.4035782
Gdansk Poland,Europe,Poland,PLN,985,54.3611929,18.6286088
Sofia Bulgaria,Europe,Bulgaria,BGN,975,42.6978634,23.3221789
Nairobi Kenya,Africa,Kenya,KES,404,-1.2832533,36.8172449
Lagos Nigeria,Africa,Nigeria,NGN,566,6.4550575,3.3941795
Nairobi Kenya,Africa,Kenya,KES,404,-1.2832533,36.8172449
"Nairobi, Kenya Kenya",Africa,Kenya,KES,404,-1.3038576,36.8248525
Nairobi City Kenya,Africa,Kenya,KES,404,-1.2832533,36.8172449
Nairobi Kenya,Africa,Kenya,KES,404,-1.2832533,36.8172449
Cairo Egypt,Africa,Egypt,EGP,818,30.0443879,31.2357257
Lagos Nigeria,Africa,Nigeria,NGN,566,6.4550575,3.3941795
Abeokuta Nigeria,Africa,Nigeria,NGN,566,7.1547129,3.3467344
Ikorodu Nigeria,Africa,Nigeria,NGN,566,6.6191233,3.5041271
Vijayawada India,Asia,India,INR,356,16.5087586,80.6185102
Jeddah Saudi Arabia,Asia,Saudi Arabia,SAR,682,21.5810088,39.1653612
Miami USA,North America,United States,USD,840,25.7741728,-80.19362
Nairobi Kenya,Africa,Kenya,KES,404,-1.2832533,36.8172449
Bhopal India,Asia,India,INR,356,23.2584857,77.401989
Johannesburg South Africa,Africa,South Africa,ZAR,710,-26.205,28.049722
Vilnius Lithuania,Europe,Lithuania,EUR,978,54.6870458,25.2829111
Ilala Tanzania,Africa,Tanzania,TZS,834,-6.8294091,39.2628893
Alahsa Saudi Arabia,Asia,Saudi Arabia,SAR,682,25.0,45.0
Dhaka Bangladesh,Asia,Bangladesh,BDT,050,23.7861979,90.4026151
Postmasburg  South Africa,Africa,South Africa,ZAR,710,-28.326667,23.068889
Johannesburg South Africa,Africa,South Africa,ZAR,710,-26.205,28.049722
Almaty Kazakhstan,Asia,Kazakhstan,KZT,398,43.2363924,76.9457275
Johannesburg South Africa,Africa,South Africa,ZAR,710,-26.205,28.049722
"Lagos, Nigeria Nigeria",Africa,Nigeria,NGN,566,6.4344348,3.4095931
Bursa Turkey,Asia,Turkey,TRY,949,40.1827657,29.0677305
Eugene USA,North America,United States,USD,840,44.0505054,-123.0950506
Takoradi Ghana,Africa,Ghana,GHS,936,4.887401,-1.7519316
Jeddah Saudi Arabia,Asia,Saudi Arabia,SAR,682,21.5810088,39.1653612
Ikorodu  Nigeria ,Africa,Nigeria,NGN,566,6.6191233,3.5041271
Antiguo Cuscatlán El Salvador,North America,El Salvador,USD,840,13.67026,-89.2463183
Ikorodu Nigeria,Africa,Nigeria,NGN,566,6.6191233,3.5041271
Warsaw Poland,Europe,Poland,PLN,985,52.2319581,21.0067249
Nairobi Kenya,Africa,Kenya,KES,404,-1.2832533,36.8172449
Abeokuta Nigeria,Africa,Nigeria,NGN,566,7.1547129,3.3467344
Nairobi Kenya,Africa,Kenya,KES,404,-1.2832533,36.8172449
Dublin Ireland,Europe,Ireland,EUR,978,53.3497645,-6.2602732
Nairobi Kenya,Africa,Kenya,KES,404,-1.2832533,36.8172449
New York City USA,North America,United States,USD,840,40.7127281,-74.0060152
Berlin Germany,Europe,Germany,EUR,978,52.5170365,13.3888599
Berlin Germany,Europe,Germany,EUR,978,52.5170365,13.3888599
Mumbai India,Asia,India,INR,356,19.0759899,72.8773928
San Luis Argentina,South America,Argentina,ARS,032,-33.2762202,-65.9515546
Lusaka Zambia,Africa,Zambia,ZMK,894,-15.4164488,28.2821535
Chlef Algeria,Africa,Algeria,DZD,012,36.20342,1.2680696
Nairobi Kenya,Africa,Kenya,KES,404,-1.2832533,36.8172449
Kintampo Ghana,Africa,Ghana,GHS,936,8.053714,-1.728919
Los Angeles USA,North America,United States,USD,840,34.0536909,-118.242766
Benin city Nigeria,Africa,Nigeria,NGN,566,6.3330586,5.6221058
Vasco da gama India,Asia,India,INR,356,15.398403,73.8129178
Nairobi Kenya,Africa,Kenya,KES,404,-1.2832533,36.8172449
Nairobi Kenya,Africa,Kenya,KES,404,-1.2832533,36.8172449
Ruaka Kenya,Africa,Kenya,KES,404,-1.205646,36.7844571
Nairobi Kenya,Africa,Kenya,KES,404,-1.2832533,36.8172449
Nairobi Kenya,Africa,Kenya,KES,404,-1.2832533,36.8172449
NAIROBI Kenya,Africa,Kenya,KES,404,-1.2832533,36.8172449
Karachi Pakistan,Asia,Pakistan,PKR,586,24.8546842,67.0207055
Kigali Rwanda,Africa,Rwanda,RWF,646,-1.950851,30.061507
New York USA,North America,United States,USD,840,40.7127281,-74.0060152
Arbaa Algeria,Africa,Algeria,DZD,012,35.4058264,-0.8811572
New Delhi India,Asia,India,INR,356,28.6138954,77.2090057
Boston USA,North America,United States,USD,840,42.3602534,-71.0582912
Sofia Bulgaria,Europe,Bulgaria,BGN,975,42.6978634,23.3221789
La marsa Tunisia,Africa,Tunisia,TND,788,36.8790882,10.327678
Accra Ghana,Africa,Ghana,GHS,936,5.5571096,-0.2012376
Vancouver Canada,North America,Canada,CAD,124,49.2608724,-123.113952
Ottawa Canada,North America,Canada,CAD,124,45.4211435,-75.6900574
Diani Kenya,Africa,Kenya,KES,404,-4.3120185,39.5795675
Stockholm Sweden,Europe,Sweden,SEK,752,59.3251172,18.0710935
Bogota Colombia,South America,Colombia,COP,170,4.6534649,-74.0836453
Córdoba Argentina,South America,Argentina,ARS,032,-31.4173391,-64.183319
